AGE,GROSSVEHICLEWEIGHT_K,MILEAGE_K,MONTHOFINCEPTION,RISK_AREA,CONVICTIONS_FLAG,CLM_NUM_L5Y,COVER_TYPE,UKRESIDENCY_YEARS,ENGINE_SIZE,FUEL_TYPE,DD_DUQ,NUMBER_OF_DRIVERS,DTI,CLASSOFUSEDESC,OVERNIGHT_LOCATION,LICENCE_TYPE,LICENCEHELD_YEARS,CREDIT_SCORE,NCD,VEHICLE_AGE,VEHICLE_VALUE,NCDPROTECT,AD_POLPREMIUM,AGG_SOURCE,ANNUAL_TOPS_PRICE,HSALE,source_file,CREDIT_SCORE_MISSING,AGE_IMPUTED,GROSSVEHICLEWEIGHT_K_IMPUTED,MILEAGE_K_IMPUTED,MONTHOFINCEPTION_IMPUTED,CLM_NUM_L5Y_IMPUTED,UKRESIDENCY_YEARS_IMPUTED,ENGINE_SIZE_IMPUTED,FUEL_TYPE_IMPUTED,NUMBER_OF_DRIVERS_IMPUTED,DTI_IMPUTED,OVERNIGHT_LOCATION_IMPUTED,LICENCE_TYPE_IMPUTED,LICENCEHELD_YEARS_IMPUTED,CREDIT_SCORE_IMPUTED,NCD_IMPUTED,VEHICLE_AGE_IMPUTED,VEHICLE_VALUE_IMPUTED,AD_POLPREMIUM_IMPUTED,ANNUAL_TOPS_PRICE_IMPUTED,HSALE_IMPUTED,RISK_AREA_IMPUTED,CONVICTIONS_FLAG_IMPUTED,NCDPROTECT_IMPUTED,AGG_SOURCE_IMPUTED,AGE_LICENCE_GAP,NCD_CAPPED,LOG_VEHICLE_VALUE,LOG_AD_POLPREMIUM,AGE_BAND,ENGINE_SIZE_BAND,VEHICLE_VALUE_BAND,VEHICLE_AGE_BAND,MILEAGE_K_BAND,CREDIT_SCORE_BAND,SPLIT
90.0,3.5,7.0,2.0,NW,N,0.0,COMP,30.0,2.3,1.0,N,1.0,2.0,2,1.0,0.0,11.0,213.0,9.0,9.0,7750.0,FALSE,875.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,9.0,8.955577146281511,6.774223886357614,71+,2.0-2.9,5-10K,6-10,5-10,200-299,TRAIN
43.0,1.0,3.3,5.0,2,N,0.0,COMP,55.0,3.2,1.0,N,1.0,29.0,2,1.0,0.0,40.0,426.0,9.0,17.0,680.0,FALSE,238.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.0,9.0,6.523562306149512,5.472270673671475,41-50,3.0+,<5K,11+,<5,400-499,TRAIN
57.0,1.8,10.0,2.0,Y,N,0.0,COMP,57.0,1.2,1.0,N,1.0,28.0,1,1.0,0.0,38.0,290.0,0.0,6.0,21000.0,FALSE,1101.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,9.952325334619427,7.00397413672268,51-60,1.0-1.4,20-30K,6-10,5-10,200-299,TRAIN
55.0,3.3,5.0,3.0,WM,Y,0.0,COMP,55.0,3.2,1.0,N,2.0,27.0,2,1.0,0.0,38.0,290.0,0.0,6.0,21000.0,FALSE,1101.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.952325334619427,7.00397413672268,51-60,3.0+,20-30K,6-10,<5,200-299,TRAIN
95.0,2.8,5.0,2.0,Y,N,0.0,COMP,55.0,2.0,1.0,Y,1.0,29.0,3,1.0,0.0,25.0,321.0,3.0,18.0,2080.0,FALSE,377.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,3.0,7.640603826393634,5.932245187448011,71+,2.0-2.9,<5K,11+,<5,300-399,TRAIN
38.0,0.0,3.0,3.0,OU,N,0.0,COMP,38.0,2.4,1.0,N,1.0,10.0,0,1.0,0.0,19.0,378.0,9.0,14.0,5000.0,FALSE,557.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,9.0,8.517393171418904,6.322565239927284,31-40,2.0-2.9,<5K,11+,<5,300-399,TRAIN
34.0,1.8,16.0,2.0,SE,N,0.0,COMP,34.0,1.9,1.0,Y,1.0,29.0,1,4.0,0.0,2.0,473.0,2.0,20.0,480.0,FALSE,805.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,2.0,6.175867270105761,6.690842277418564,31-40,1.5-1.9,<5K,11+,15-20,400-499,TRAIN
60.0,2.6,13.0,2.0,S,N,1.0,COMP,50.0,2.0,1.0,N,2.0,18.0,A10,1.0,0.0,18.0,389.0,9.0,23.0,5000.0,TRUE,933.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,9.0,8.517393171418904,6.838405200847344,51-60,2.0-2.9,<5K,11+,10-15,300-399,TRAIN
26.0,2.7,4.0,2.0,SE,N,0.0,COMP,26.0,2.2,1.0,N,2.0,2.0,1,3.0,0.0,9.0,231.0,0.0,11.0,3990.0,FALSE,1098.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.291797105048733,7.001245622069476,26-30,2.0-2.9,<5K,11+,<5,200-299,TRAIN
37.0,3.1,10.0,2.0,Y,N,0.0,COMP,36.0,2.2,1.0,Y,2.0,28.0,2,1.0,0.0,19.0,400.0,2.0,13.0,3920.0,FALSE,689.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,8.27410200229233,6.535241271013659,31-40,2.0-2.9,<5K,11+,5-10,400-499,TEST
