,catboost,xgboost
AGE,20.137606018091255,0.011979144997894764
CREDIT_SCORE,180.12502363702544,0.1108211949467659
VEHICLE_VALUE,20.626873348122036,0.02829735353589058
ENGINE_SIZE,29.322927471981068,0.014580000191926956
MILEAGE_K,80.49808016569003,0.07128533720970154
NCD_CAPPED,65.9526035268138,0.177694633603096
VEHICLE_AGE,69.04927695800677,0.02973366528749466
LICENCEHELD_YEARS,135.34390876731402,0.09251454472541809
UKRESIDENCY_YEARS,65.5904745900835,0.027140967547893524
CLM_NUM_L5Y,0.02080280677967091,0.01987842097878456
DTI,22.172960030175,0.012984681874513626
NUMBER_OF_DRIVERS,15.668399280012473,0.01873333565890789
OVERNIGHT_LOCATION,13.309178533098544,0.011083858087658882
LICENCE_TYPE,0.3714948136499983,0.010258747264742851
MONTHOFINCEPTION,9.040049241604043,0.009291551075875759
GROSSVEHICLEWEIGHT_K,54.317663059368755,0.02243216335773468
AGE_SQUARED,26.92302457165216,0.009969579987227917
AGE_X_NCD,119.98554194133929,0.15469586849212646
LOG_VEHICLE_VALUE,34.90814604765936,0.014516626484692097
EXPERIENCE_RATIO,23.111554030796427,0.012533889152109623
NCD_RATE,27.769766153178974,0.010601984336972237
RISK_AREA,79.19116866921138,0.027468863874673843
CONVICTIONS_FLAG,19.097083205394846,0.024456804618239403
COVER_TYPE,3.4946242737329953,0.015930352732539177
DD_DUQ,30.128049632322693,0.01880756951868534
CLASSOFUSEDESC,15.89739458189575,0.01344350166618824
NCDPROTECT,9.480256681343745,0.011710025370121002
CLM_GROUP,23.006689693857837,0.012424870394170284
FUEL_TYPE_CAT,0.0,0.004730427172034979
